1	2023-11-01 11:34:17	0	1	0			0	0	
1	2023-11-01 11:34:45	0	1	0			0	0	
1	2023-11-01 11:43:34	0	1	0			0	0	
1	2023-11-01 11:44:34	0	1	0			0	0	
1	2023-11-01 11:45:15	0	1	0			0	0	
1	2023-11-01 11:51:22	0	1	0			0	0	
1	2023-11-01 11:59:24	0	1	0			0	0	
2	2023-11-01 12:05:01	0	1	0			0	0	
1	2023-11-01 13:19:41	0	1	0			0	0	
1	2023-11-01 13:22:47	0	1	0			0	0	
1	2023-11-01 13:25:08	0	1	0			0	0	
1	2023-11-01 13:26:01	0	1	0			0	0	
1	2023-11-01 13:27:28	0	1	0			0	0	
1	2023-11-01 13:31:04	0	1	0			0	0	
2	2023-11-01 13:31:37	0	1	0			0	0	
1	2023-11-03 09:09:17	0	1	0			0	0	
4x	2023-11-03 09:11:12	0	1	0			0	0	
4x	2023-11-03 06:42:32	0	1	0			0	0	
1	2023-11-03 09:35:15	0	1	0			0	0	
1	2023-11-03 11:24:43	0	1	0			0	0	
1	2023-11-03 11:58:24	0	1	0			0	0	
1	2023-11-03 11:58:35	1	1	0			0	0	
1	2023-11-03 17:38:47	1	1	0			0	0	
